x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-20,false,l,true,0
234.951,-20,true,g,true,0
232.882,-31.116,false,g,true,0
232.882,-43.7926,false,g,true,0
171.979,-43.7926,false,b,true,0
171.979,-20,false,l,true,0
219.873,-20,true,g,true,0
203.1,-84.2281,false,g,true,0
203.1,-71.2831,false,l,true,0
202.336,-71.2831,false,b,true,0
202.336,-20,false,l,true,0
175.843,-20,true,g,true,0
164.442,-62.2856,false,g,true,0
150.03,-62.2856,false,b,true,0
157.634,-62.2856,false,b,true,0
157.634,-20,false,l,true,0
162.5,-20,true,g,true,0
152.684,-55.6229,false,g,true,0
152.684,-62.171,false,g,true,0
144.629,-62.171,false,b,true,0
144.629,-20,false,l,true,0
230.257,-20,true,g,true,0
229.036,-23.6833,false,g,true,0
229.036,-30.3538,false,g,true,0
192.087,-30.3538,false,b,true,0
192.087,-39.8866,false,g,true,0
180.932,-39.8866,false,b,true,0
180.932,-47.4398,false,g,true,0
181.5,-47.4398,false,b,true,0
181.5,-20,false,l,true,0
187.482,-20,true,g,true,0
154.622,-106.026,false,g,true,0
154.622,-84.2124,false,l,true,0
154.622,-20,false,l,true,0
223.962,-20,true,g,true,0
222.532,-25.2636,false,g,true,0
222.532,-35.6901,false,g,true,0
201.802,-35.6901,false,b,true,0
201.802,-20,false,l,true,0
231.62,-20,true,g,true,0
209.59,-98.5874,false,g,true,0
209.59,-100.899,false,g,true,0
209.59,-20,false,l,true,0
232.648,-20,true,g,true,0
229.753,-36.5908,false,g,true,0
229.753,-37.8765,false,g,true,0
195.388,-37.8765,false,b,true,0
195.388,-38.1367,false,g,true,0
184.73,-38.1367,false,b,true,0
184.73,-20,false,l,true,0
239.766,-20,true,g,true,0
224.933,-83.0232,false,g,true,0
212.674,-83.0232,false,b,true,0
212.674,-20,false,l,true,0
171.609,-20,true,g,true,0
159.013,-64.5342,false,g,true,0
171.609,-64.5342,true,l,true,0
143.309,-64.5342,false,b,true,0
143.309,-68.2002,false,g,true,0
143.917,-68.2002,false,b,true,0
143.917,-20,false,l,true,0
177.633,-20,true,g,true,0
168.076,-57.4822,false,g,true,0
168.076,-62.0694,false,g,true,0
168.977,-62.0694,false,b,true,0
161.852,-62.0694,false,b,true,0
161.852,-68.4846,false,g,true,0
165.611,-68.4846,false,b,true,0
166.848,-68.4846,false,b,true,0
166.62,-68.4846,false,b,true,0
166.486,-68.4846,false,b,true,0
166.4,-68.4846,false,b,true,0
166.341,-68.4846,false,b,true,0
166.299,-68.4846,false,b,true,0
166.269,-68.4846,false,b,true,0
166.246,-68.4846,false,b,true,0
166.23,-68.4846,false,b,true,0
166.23,-20,false,l,true,0
166.546,-20,true,g,true,0
158.085,-52.4077,false,g,true,0
158.085,-55.6562,false,g,true,0
154.33,-55.6562,false,b,true,0
154.33,-20,false,l,true,0
186.983,-20,true,g,true,0
162.117,-93.1691,false,g,true,0
162.117,-89.306,false,l,true,0
162.117,-20,false,l,true,0
176.181,-20,true,g,true,0
169.952,-46.4341,false,g,true,0
167.29,-46.4341,false,b,true,0
167.29,-20,false,l,true,0
175.194,-20,true,g,true,0
163.662,-62.511,false,g,true,0
146.259,-62.511,false,b,true,0
146.259,-20,false,l,true,0
218.686,-20,true,g,true,0
217.357,-24.0711,false,g,true,0
217.357,-36.0177,false,g,true,0
217.357,-20,false,l,true,0
236.3,-20,true,g,true,0
234.134,-31.9219,false,g,true,0
205.84,-31.9219,false,b,true,0
205.84,-38.9899,false,g,true,0
172.092,-38.9899,false,b,true,0
172.092,-48.4646,false,g,true,0
142.348,-48.4646,false,b,true,0
142.348,-39.4823,false,l,true,0
147.358,-39.4823,true,g,true,0
141.97,-39.4823,false,b,true,0
148.048,-39.4823,true,g,true,0
142.686,-39.4823,false,b,true,0
142.686,-20,false,l,true,0
176.491,-20,true,g,true,0
172.767,-36.0643,false,g,true,0
171.98,-36.0643,true,g,true,0
168.156,-36.0643,false,b,true,0
191.282,-36.0643,true,g,true,0
187.851,-36.0643,false,b,true,0
187.851,-20,false,l,true,0
239.011,-20,true,g,true,0
223.653,-84.2952,false,g,true,0
235.87,-84.2952,true,g,true,0
220.293,-84.2952,false,b,true,0
241.489,-84.2952,true,g,true,0
226.299,-84.2952,false,b,true,0
226.299,-20,false,l,true,0
210.727,-20,true,g,true,0
168.03,-127.167,false,g,true,0
209.239,-127.167,true,g,true,0
166.16,-127.167,false,b,true,0
230.004,-127.167,true,g,true,0
191.652,-127.167,false,b,true,0
191.652,-20,false,l,true,0
220.97,-20,true,g,true,0
147.337,-164.68,false,g,true,0
147.337,-159.424,false,l,true,0
147.337,-20,false,l,true,0
224.888,-20,true,g,true,0
154.031,-163.857,false,g,true,0
154.031,-116.86,false,l,true,0
154.031,-20,false,l,true,0
219.673,-20,true,g,true,0
144.918,-165.091,false,g,true,0
144.918,-149.014,false,l,true,0
144.918,-20,false,l,true,0
228.91,-20,true,g,true,0
182.412,-138.296,false,g,true,0
182.412,-137.901,false,l,true,0
182.412,-20,false,l,true,0
222.502,-20,true,g,true,0
145.299,-168.509,false,g,true,0
145.299,-165.696,false,l,true,0
145.299,-20,false,l,true,0
222.631,-20,true,g,true,0
189.495,-116.86,false,g,true,0
189.495,-20,false,l,true,0
189.495,-116.86,false,g,true,0
195.659,-116.86,false,b,true,0
195.659,-111.501,false,l,true,0
